stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
3425,18,Cartier Colentina,,44.468678,26.142902,,,,
6467,180,Soseaua Mihai Bravu 33,,44.445988,26.126987,,,,
3773,1800,Posta,,44.416863,26.020497,,,,
6041,1805,Primaria Mogosoaia,,44.531456,25.99775,,,,
3772,1808,Calea 13 Septembrie,,44.417088,26.057923,,,,
3204,181,Calea Dorobantilor,,44.453018,26.099267,,,,
3143,1811,Fizicienilor,,44.414821,26.153596,,,,
5966,1812,Bucuresti Mall,,44.420455,26.125301,,,,
5967,1813,Bucuresti Mall,,44.420105,26.125811,,,,
3150,1814,Voluntarilor,,44.41645,26.149614,,,,
5970,1815,Primaria Mogosoaia,,44.531735,25.997338,,,,
3153,1817,Voluntarilor,,44.416456,26.149445,,,,
3207,182,Roma,,44.452754,26.094068,,,,
3109,1820,Ilioara,,44.413695,26.15714,,,,
3105,1821,Ilioara,,44.413509,26.158475,,,,
3107,1822,Fizicienilor,,44.414556,26.154111,,,,
5945,1824,Cimitirul Straulesti,,44.500157,26.027286,,,,
5942,1825,Laromet,,44.494995,26.031278,,,,
5946,1828,Mezes,,44.485593,26.022769,,,,
3209,183,Pasaj Victoria,,44.452552,26.091434,,,,
5997,1830,Sere Militari,,44.41014,26.002042,,,,
5998,1831,Radului,,44.403352,25.945268,,,,
6005,1834,Scoala Gheorghe Corneliu,,44.401658,25.907356,,,,
11029,1837,Piata Danny Huwe,,44.429699,26.060771,,,,
6002,1838,Cartier 16 Februarie,,44.470054,26.022471,,,,
6003,1839,Poiana Lacului,,44.467278,26.015718,,,,
5985,1840,Sculptorilor,,44.470726,26.006936,,,,
5983,1841,Scoala,,44.470163,26.002305,,,,
5984,1842,Giulesti Sarbi,,44.471303,26.000913,,,,
5982,1844,Sculptorilor,,44.470664,26.007568,,,,
5991,1845,Intrarea Caramidariei,,44.467349,26.010263,,,,
5992,1846,Cartier 16 Februarie,,44.470357,26.021476,,,,
7681,185,Piata Sf. Gheorghe,,44.432537,26.103862,,,,
6137,1854,Libertatii,,44.512096,25.975016,,,,
